4.2, 1.3, 0.04
4.37, 1.16, 0.05
4.54, 1.19, 0.07
4.62, 1.08, 0.1
4.41, 1.12, 0.12
4.16, 1.38, 0.13
4.35, 1.27, 0.14
4.51, 1.07, 0.16
4.2, 1.42, 0.18
4.78, 1.26, 0.22
4.62, 1.29, 0.26
4.33, 1.35, 0.3
4.6, 0.97, 0.32
4.25, 1.46, 0.33
4.49, 1.35, 0.36
4.92, 0.86, 0.42
4.18, 1.53, 0.43
4.66, 0.86, 0.47
4.57, 1.42, 0.48
4.59, 0.87, 0.48
4.06, 1.24, 0.48
4.05, 1.24, 0.5
4.04, 1.29, 0.5
4.18, 1.02, 0.52
4.15, 1.57, 0.53
4.48, 0.82, 0.62
4.76, 1.52, 0.65
4.6, 1.52, 0.66
4.41, 0.8, 0.69
4.83, 0.65, 0.77
4.43, 1.59, 0.79
4.69, 0.65, 0.82
4.22, 0.82, 0.83
4.44, 0.7, 0.84
4.06, 0.93, 0.88
3.92, 1.33, 0.88
3.93, 1.5, 0.89
4.84, 0.57, 0.9
4.66, 1.67, 0.91
4.66, 0.55, 0.99
4.65, 0.54, 1.02
4.64, 0.53, 1.03
3.88, 1.48, 1.05
4.1, 0.78, 1.05
4.78, 0.47, 1.07
4.55, 1.76, 1.09
4.55, 0.52, 1.09
4.47, 1.77, 1.11
4.52, 1.78, 1.12
4.58, 1.79, 1.13
4.28, 0.6, 1.14
4.2, 0.62, 1.18
4.69, 0.42, 1.19
3.86, 1.1, 1.2
4.92, 0.34, 1.22
3.84, 1.13, 1.22
4.36, 0.51, 1.23
4.81, 0.36, 1.23
3.81, 1.49, 1.25
4.0, 0.75, 1.26
4.13, 0.62, 1.26
4.6, 0.4, 1.26
4.59, 0.4, 1.27
4.59, 1.89, 1.3
3.88, 0.9, 1.31
3.81, 1.13, 1.31
3.79, 1.29, 1.31
4.97, 0.26, 1.33
4.21, 0.52, 1.34
4.82, 0.28, 1.35
3.98, 0.71, 1.37
3.77, 1.49, 1.37
4.57, 0.34, 1.38
4.34, 0.42, 1.39
4.08, 0.58, 1.4
3.82, 0.97, 1.41
4.49, 0.33, 1.43
4.07, 0.51, 1.52
4.06, 0.52, 1.53
3.89, 0.7, 1.54
3.71, 1.12, 1.61
4.51, 0.21, 1.61
3.77, 0.87, 1.62
4.59, 0.14, 1.68
4.41, 0.17, 1.74
4.91, -0.02, 1.75
4.85, -0.02, 1.78
4.75, 0.0, 1.8
4.07, 0.32, 1.82
4.38, 0.13, 1.83
3.64, 1.02, 1.84
3.61, 1.28, 1.84
3.61, 1.13, 1.89
4.11, 0.24, 1.9
4.65, -0.07, 1.95
3.58, 1.12, 1.96
4.41, 0.03, 1.96
4.39, 0.03, 1.97
3.86, 0.41, 1.99
4.83, -0.16, 1.99
4.82, -0.19, 2.03
4.5, -0.07, 2.04
3.89, 0.31, 2.08
4.74, -0.2, 2.09
3.95, 0.22, 2.12
4.87, -0.27, 2.12
3.54, 1.03, 2.12
3.69, 0.56, 2.12
4.1, 0.09, 2.14
3.9, 0.24, 2.16
3.84, 0.3, 2.16
4.37, -0.09, 2.17
4.27, -0.04, 2.17
3.55, 0.89, 2.18
4.05, 0.1, 2.18
4.55, -0.19, 2.18
3.9, 0.22, 2.18
4.92, -0.37, 2.22
4.23, -0.08, 2.25
4.87, -0.37, 2.26
3.44, 1.28, 2.31
3.79, 0.23, 2.33
3.5, 0.82, 2.35
