4.45, 1.19, 0.04
4.75, 1.14, 0.05
4.56, 1.21, 0.11
4.33, 1.28, 0.15
4.86, 0.97, 0.25
4.08, 1.39, 0.38
4.81, 0.85, 0.45
4.66, 0.79, 0.59
4.68, 0.67, 0.79
3.92, 1.28, 0.9
4.31, 0.72, 0.92
3.9, 1.47, 0.97
4.84, 0.48, 1.03
4.89, 0.45, 1.06
4.78, 0.47, 1.07
4.14, 0.68, 1.16
4.05, 0.72, 1.23
4.67, 0.38, 1.26
3.98, 0.64, 1.46
3.72, 1.5, 1.5
3.81, 0.84, 1.56
3.74, 0.98, 1.62
3.83, 0.72, 1.65
4.78, 0.04, 1.72
3.86, 0.35, 2.06
4.5, -0.1, 2.08
4.47, -0.15, 2.19
3.93, 0.17, 2.21
3.43, 1.05, 2.41
4.73, -0.47, 2.47
3.9, -0.06, 2.56
4.42, -0.49, 2.68
3.79, -0.04, 2.69
3.96, -0.22, 2.71
3.28, 1.32, 2.73
3.32, 0.91, 2.74
4.08, -0.36, 2.78
3.55, 0.13, 2.85
3.43, 0.34, 2.87
3.52, -0.06, 3.09
3.31, 0.36, 3.1
3.26, 0.51, 3.1
3.66, -0.27, 3.13
3.51, -0.2, 3.26
3.13, 0.56, 3.37
3.0, 1.17, 3.45
2.87, 0.68, 3.88
2.82, 0.4, 4.1
2.75, 0.56, 4.17
2.75, 0.48, 4.2
2.93, -0.3, 4.25
2.67, 0.61, 4.32
2.59, 1.08, 4.34
2.51, 0.76, 4.59
2.47, 0.14, 4.83
2.32, 0.91, 4.9
2.28, 0.86, 4.99
2.13, 0.69, 5.28
2.06, 0.67, 5.39
1.78, 0.71, 5.8
1.85, -0.17, 5.83
1.81, -0.09, 5.87
1.59, 0.44, 6.09
1.62, -0.13, 6.11
1.61, 0.05, 6.11
1.52, 0.47, 6.17
