4.8, 0.33, 0.12
4.8, 0.33, 0.12
4.8, 0.33, 0.12
4.8, 0.29, 0.22
4.8, 0.29, 0.22
4.8, 0.23, 0.37
4.8, 0.23, 0.37
3.45, 0.1, 0.43
3.45, 0.1, 0.43
3.52, 0.04, 0.53
4.8, 0.15, 0.58
4.8, 0.15, 0.58
3.45, 0.01, 0.8
3.45, 0.01, 0.8
4.8, 0.06, 0.84
4.8, 0.06, 0.84
3.35, 0.11, 1.06
3.35, 0.11, 1.06
4.8, -0.05, 1.14
4.8, -0.05, 1.14
3.61, 2.21, 1.2
3.61, 2.21, 1.2
3.61, 2.32, 1.22
3.61, 2.32, 1.22
3.61, 2.1, 1.24
4.68, -0.17, 1.5
4.68, -0.17, 1.5
4.54, -0.31, 1.92
4.54, -0.31, 1.92
3.29, 0.31, 2.0
3.29, 0.31, 2.0
3.22, 0.2, 2.22
3.22, 0.2, 2.22
4.63, 1.66, 2.29
4.38, -0.46, 2.38
4.38, -0.46, 2.38
3.2, 0.11, 2.43
3.2, 0.11, 2.43
3.15, 0.17, 2.58
3.13, 0.15, 2.69
3.13, 0.15, 2.69
3.05, 0.37, 2.83
3.05, 0.37, 2.83
4.22, -0.63, 2.85
4.22, -0.63, 2.85
3.03, 0.28, 2.88
3.03, 0.28, 2.88
3.07, 0.05, 2.97
2.95, 0.32, 3.02
2.95, 0.32, 3.02
2.85, 0.28, 3.22
2.85, 0.28, 3.22
2.87, 0.19, 3.22
2.87, 0.19, 3.22
4.03, -0.82, 3.3
2.77, 0.32, 3.33
2.77, 0.32, 3.33
2.69, 0.38, 3.43
2.69, 0.38, 3.43
2.66, 0.28, 3.49
2.66, 0.28, 3.49
2.58, 0.32, 3.58
2.58, 0.32, 3.58
2.5, 0.38, 3.67
2.5, 0.38, 3.67
2.47, 0.48, 3.7
2.47, 0.48, 3.7
2.39, 0.32, 3.81
2.39, 0.32, 3.81
2.3, 0.38, 3.89
2.3, 0.38, 3.89
2.27, 0.28, 3.95
2.27, 0.28, 3.95
3.41, 2.52, 3.99
2.19, 0.52, 3.99
2.19, 0.52, 3.99
2.1, 0.38, 4.09
2.1, 0.38, 4.09
2.07, 0.48, 4.11
2.07, 0.48, 4.11
1.98, 0.32, 4.21
1.98, 0.32, 4.21
1.89, 0.38, 4.28
1.86, 0.27, 4.34
1.86, 0.27, 4.34
1.77, 0.52, 4.36
1.77, 0.52, 4.36
1.65, 0.48, 4.46
1.65, 0.48, 4.46
1.56, 0.74, 4.54
1.43, 0.27, 4.68
1.43, 0.27, 4.68
1.21, 0.49, 4.77
1.21, 0.49, 4.77
0.99, 0.26, 4.97
